λ = 2,λ = 4,λ = 7
1.05754027423063,1.15131614554758,1.26260416302023
1.04869999427337,1.12770991767507,1.21789906129684
1.08714017448309,1.23704645010659,1.42089087663248
1.07182229421852,1.18907660688073,1.32619131951373
1.18580298392785,1.51476549266321,1.93170674490692
1.16531011562716,1.45540296154514,1.83246993740438
1.10402152848228,1.28337056857163,1.51344948467774
1.12483915642085,1.33949560039288,1.6259103235305
1.07522066080017,1.19928112258176,1.35875707399356
1.13825423205476,1.38376421616846,1.69835205073636
1.178262871078,1.49087420616698,1.9152076592123
1.11457388697148,1.31097302681088,1.56592127044151
1.07835665722068,1.21516966957358,1.38040106895353
1.27048013256803,1.76992813457721,2.43099079029949
1.15779640653567,1.43370665147063,1.78633095918643
1.11115730383075,1.30032130487391,1.54170802781503
1.16246217988526,1.44210443713597,1.8171057899628
1.05922076147127,1.15774073073553,1.27593752994324
1.31205143482057,1.8532291138135,2.6550243502273
1.0862729005259,1.23326467770423,1.4092897146421
1.26814728977115,1.74002507487827,2.38273740227335
1.13313157083898,1.35812269271293,1.64596970233368
1.16725812083479,1.46786203170586,1.85059297238636
1.24489550921924,1.6861900697988,2.26352127341866
1.31177995955012,1.88764300372175,2.67342021588705
1.29386902374187,1.83908568268156,2.56638344266491
1.05217942296723,1.13860229917011,1.23971978007043
1.17981466511304,1.49457292949406,1.88815111971739
1.07544579515932,1.2023530051463,1.34443734332995
1.34068206261383,1.94925951645258,2.81962188726105
1.42673324500197,2.23648243031943,3.35458038718632
1.18716169119965,1.51916251747681,1.94244234971195
1.40501065192413,2.16718237723687,3.21431128968989
1.43537363561528,2.25889365920158,3.41274094023205
1.28071965726942,1.78952403761252,2.46660539046672
1.2378543071434,1.66693572052025,2.22237894811245
1.32996984975433,1.94743085121936,2.77729445950416
1.20186967497378,1.55144238065706,2.02885375947975
1.16138964952547,1.44509072841193,1.79208067236392
1.19790036834212,1.54446321821771,1.99067912319832
1.19104730366946,1.52576197130159,1.95003472162813
1.23398934744926,1.64495608703067,2.2076007787824
1.16192623765823,1.44478846542658,1.80141034853461
1.16264074077102,1.45208143990788,1.82269406654859
1.1262007670765,1.33964498827832,1.61260168289252
1.0849676478594,1.22686399043194,1.40127821863815
1.14238266263755,1.3872395144044,1.6985709190023
1.21166208533354,1.56195855188025,2.08151162609556
1.3454571331414,1.98741661228241,2.84865202539101
1.35324900568842,2.0055200722267,2.87041231237593
1.27699051011645,1.77643032070722,2.42609046885408
1.2274343695854,1.64043958334811,2.16029351353003
1.29330957491251,1.82474922584412,2.52636965801124
1.43000267229923,2.24993090009585,3.37741729347959
1.20302169378062,1.52506813040933,1.98849383372113
1.16937388766647,1.46060472878316,1.83536762252167
1.10112696440391,1.27462407327506,1.47886602003153
1.1287171079123,1.35276648789669,1.63306722079093
1.35968986237082,2.02238719928174,2.92411963354427
1.28598498363312,1.81074956213579,2.50317957271303
1.44850294875279,2.27486450153232,3.5130602769015
1.25335239998922,1.71428202397162,2.32402916392231
1.13617476095739,1.37129207463275,1.65666438072024
1.01239719130344,1.02833359793106,1.05179876057461
1.0727325567665,1.19484780335029,1.33777968299422
1.13389431443971,1.36279908055383,1.66101236483837
1.13389431443971,1.36279908055383,1.66101236483837
1.26521853830702,1.7430955066131,2.36852769534842
1.45479853992871,2.29284581289151,3.51552884591299
1.25484905909486,1.71417998081481,2.31087792773181
1.28129094086933,1.79696517313354,2.46195045797255
1.10648391970523,1.29114582178673,1.51655820402804
1.34648486126579,1.98640828263223,2.85345200957143
1.16246190396983,1.43725505042579,1.77007333326036
1.20531789148388,1.55636139478533,2.02128032033586
1.26989788960475,1.75726081853115,2.38933147631737
1.15125603358923,1.42007613110521,1.7485267671434
1.05340896700457,1.1391717564695,1.23874913071603
1.28965899973017,1.80463997137346,2.51429706639679
1.32094175921409,1.91518957948503,2.72055347648982
1.18033080671327,1.50036779817187,1.91848318912768
1.15381082558811,1.42323512839276,1.75587907550508
1.29721530091417,1.84330062963563,2.56819736245247
1.43782222239472,2.26441013382293,3.39904855894422
1.19789991845703,1.54541949955893,1.98940721127272
1.21552860938927,1.59794772991167,2.10145807914433
1.36966176231979,2.0605856270935,2.99044414652403
1.30796679345955,1.86681728011517,2.59379821222412
1.25857408542109,1.72351058257377,2.33815761811264
1.28157677987001,1.78955901851113,2.46538997281273
1.26814713520135,1.76334119324821,2.41331403653076
1.08583844554533,1.22973684393824,1.39177655338221
1.40500832523395,2.18544052093654,3.25500329291011
